frame,time_s,fused_u,fused_v,du_fused,dv_fused,radar_x,radar_y,radar_z,dx_radar,dy_radar,yolo_cx,yolo_cy,yolo_w,yolo_h,du_yolo,dv_yolo,range_m,vel_mps,confidence
39,7.451,849.0,647.9,0.0,0.0,-0.679,4.386,0.571,0.014,0.200,849.0,647.9,362.2,819.5,0.0,0.0,4.39,0.07,0.85
40,7.462,849.0,647.9,0.0,0.0,-0.670,4.515,0.606,0.009,0.129,849.0,647.9,362.2,819.5,0.0,0.0,4.51,0.07,0.85
41,7.472,853.6,641.7,4.6,-6.2,-0.664,4.598,0.629,0.006,0.083,853.6,641.7,354.2,808.7,4.6,-6.2,4.60,0.07,0.86
42,7.931,898.7,635.8,45.1,-5.9,-0.547,4.232,0.496,0.116,-0.366,368.8,785.8,728.6,560.1,-484.8,144.1,4.23,0.07,0.86
43,7.933,898.7,635.8,0.0,0.0,-0.472,3.994,0.408,0.075,-0.238,368.8,785.8,728.6,560.1,0.0,0.0,3.99,0.07,0.86
44,7.943,895.5,637.1,-3.2,1.4,-0.428,3.837,0.339,0.045,-0.157,369.0,785.6,730.5,559.7,0.2,-0.2,3.84,0.07,0.85
45,7.952,895.5,637.1,0.0,0.0,-0.399,3.734,0.294,0.028,-0.103,369.0,785.6,730.5,559.7,0.0,0.0,3.73,0.08,0.85
46,7.953,895.5,637.1,0.0,0.0,-0.381,3.666,0.263,0.018,-0.068,369.0,785.6,730.5,559.7,0.0,0.0,3.67,0.08,0.85
47,7.971,892.6,638.2,-2.9,1.1,-0.370,3.624,0.240,0.011,-0.042,369.1,784.4,732.9,557.1,0.1,-1.2,3.62,0.08,0.84
48,7.980,892.6,638.2,0.0,0.0,-0.364,3.596,0.223,0.006,-0.028,369.1,784.4,732.9,557.1,0.0,0.0,3.60,0.08,0.84
49,8.430,839.3,631.4,-53.3,-6.8,-0.345,3.592,0.200,0.019,-0.005,839.3,631.4,291.1,792.5,470.2,-152.9,3.59,0.08,0.82
50,8.438,839.3,631.4,0.0,0.0,-0.333,3.588,0.184,0.012,-0.003,839.3,631.4,291.1,792.5,0.0,0.0,3.59,0.08,0.82
51,8.449,839.3,631.4,0.0,0.0,-0.325,3.586,0.173,0.008,-0.002,839.3,631.4,291.1,792.5,0.0,0.0,3.59,0.08,0.82
52,8.460,834.7,592.9,-4.6,-38.5,-0.437,3.979,0.331,-0.111,0.394,834.7,592.9,274.8,712.1,-4.6,-38.5,3.98,0.07,0.80
53,8.471,834.7,592.9,0.0,0.0,-0.393,3.840,0.266,0.043,-0.140,834.7,592.9,274.8,712.1,0.0,0.0,3.84,0.07,0.80
54,8.931,778.7,625.3,-56.0,32.4,-0.480,4.139,0.386,-0.086,0.299,778.7,625.3,248.5,810.6,-56.0,32.4,4.14,0.07,0.79
55,8.938,771.6,625.6,-7.1,0.3,-0.536,4.333,0.463,-0.056,0.194,771.6,625.6,244.8,815.5,-7.1,0.3,4.33,0.07,0.81
56,8.944,771.6,625.6,0.0,0.0,-0.572,4.458,0.512,-0.036,0.125,771.6,625.6,244.8,815.5,0.0,0.0,4.46,0.07,0.81
57,9.181,745.2,620.8,-26.4,-4.9,-0.595,4.537,0.542,-0.023,0.079,745.2,620.8,253.0,825.6,-26.4,-4.9,4.54,0.07,0.87
58,9.182,745.2,620.8,0.0,0.0,-0.610,4.588,0.560,-0.015,0.051,745.2,620.8,253.0,825.6,0.0,0.0,4.59,0.07,0.87
59,9.192,745.2,620.8,0.0,0.0,-0.619,4.620,0.571,-0.009,0.032,745.2,620.8,253.0,825.6,0.0,0.0,4.62,0.07,0.87
60,9.203,745.2,620.8,0.0,0.0,-0.625,4.640,0.578,-0.006,0.020,745.2,620.8,253.0,825.6,0.0,0.0,4.64,0.07,0.87
61,9.632,751.7,610.5,6.6,-10.3,-0.628,4.649,0.577,-0.003,0.008,754.8,612.0,224.2,819.9,9.6,-8.8,4.65,0.07,0.82
62,9.638,754.8,612.0,3.0,1.6,-0.630,4.653,0.576,-0.002,0.005,754.8,612.0,224.2,819.9,0.0,0.0,4.65,0.07,0.82
63,9.649,754.8,612.0,0.0,0.0,-0.631,4.656,0.574,-0.001,0.002,754.8,612.0,224.2,819.9,0.0,0.0,4.66,0.07,0.82
64,9.881,800.2,616.0,45.5,4.0,-0.631,4.655,0.571,-0.000,-0.001,800.2,616.0,234.9,808.5,45.5,4.0,4.65,0.07,0.79
65,9.885,800.2,616.0,0.0,0.0,-0.631,4.653,0.567,0.000,-0.001,800.2,616.0,234.9,808.5,0.0,0.0,4.65,0.07,0.79
66,9.892,800.2,616.0,0.0,0.0,-0.631,4.652,0.565,0.000,-0.002,800.2,616.0,234.9,808.5,0.0,0.0,4.65,0.07,0.79
67,9.905,800.2,616.0,0.0,0.0,-0.631,4.650,0.562,0.000,-0.002,800.2,616.0,234.9,808.5,0.0,0.0,4.65,0.07,0.79
68,9.916,800.2,616.0,0.0,0.0,-0.630,4.648,0.559,0.000,-0.002,800.2,616.0,234.9,808.5,0.0,0.0,4.65,0.07,0.79
69,9.926,803.5,617.9,3.3,1.9,-0.630,4.646,0.557,0.000,-0.002,803.5,617.9,228.0,801.8,3.3,1.9,4.65,0.07,0.79
70,10.380,859.8,625.2,56.3,7.3,-0.530,4.294,0.354,0.100,-0.352,370.3,784.9,730.1,554.8,-433.2,167.0,4.29,0.08,0.82
