frame,time_s,fused_u,fused_v,du_fused,dv_fused,radar_x,radar_y,radar_z,dx_radar,dy_radar,yolo_cx,yolo_cy,yolo_w,yolo_h,du_yolo,dv_yolo,range_m,vel_mps,confidence
38,2.235,1140.7,537.1,3.7,53.8,1.521,2.524,0.109,0.095,0.114,1293.1,640.2,214.0,742.9,12.7,1.1,2.52,-0.59,0.83
39,3.088,1197.2,269.4,56.5,-267.7,1.425,1.794,1.696,-0.095,-0.731,369.3,787.0,733.3,565.3,-923.9,146.8,1.79,0.59,0.78
40,3.190,1198.7,673.1,1.4,403.7,1.813,2.276,-0.926,0.388,0.483,1368.8,632.6,234.6,762.8,999.5,-154.4,2.28,-0.29,0.83
41,3.289,1194.8,723.3,-3.9,50.2,1.718,2.190,-1.256,-0.095,-0.086,1382.7,631.8,259.7,760.2,13.9,-0.8,2.19,-0.59,0.88
42,3.339,1223.4,672.5,28.6,-50.8,1.869,2.129,-0.854,0.151,-0.061,1388.3,632.3,266.7,754.1,5.6,0.5,2.13,0.42,0.88
43,3.439,1200.9,768.4,-22.5,95.9,1.613,2.003,-1.446,-0.256,-0.126,1393.5,633.4,270.7,751.4,5.2,1.2,2.00,-0.59,0.88
44,3.489,1248.4,690.7,47.5,-77.7,1.937,2.019,-0.911,0.324,0.016,370.0,787.4,733.3,565.7,-1023.4,154.0,2.02,-0.59,0.87
45,3.537,1224.3,686.8,-24.1,-3.9,1.909,2.170,-0.957,-0.029,0.151,370.0,787.4,733.3,565.7,0.0,0.0,2.17,-0.20,0.87
46,3.788,1260.6,832.5,36.3,145.7,1.692,1.681,-1.560,-0.216,-0.489,369.8,788.4,732.8,568.5,-0.3,0.9,1.68,-0.59,0.84
47,4.036,1266.1,672.6,5.4,-159.9,2.240,2.193,-0.888,0.547,0.511,369.8,788.0,733.5,568.5,0.0,-0.4,2.19,-0.59,0.77
48,4.541,1238.2,730.1,-27.8,57.5,1.782,1.915,-1.133,-0.458,-0.278,370.0,787.9,734.1,565.7,0.3,-0.1,1.91,-0.59,0.77
49,4.788,1250.4,686.8,12.2,-43.4,2.008,2.087,-0.936,0.227,0.173,369.9,789.2,733.9,570.6,-0.1,1.4,2.09,-0.59,0.83
50,4.838,1186.1,613.3,-64.3,-73.5,1.692,2.240,-0.468,-0.316,0.153,1383.8,642.0,274.7,733.4,1013.9,-147.2,2.24,-0.59,0.84
51,4.888,1192.1,620.4,6.0,7.2,1.805,2.341,-0.538,0.113,0.101,370.0,790.2,734.1,572.1,-1013.8,148.2,2.34,-0.59,0.85
52,4.936,1161.8,555.0,-30.3,-65.4,1.630,2.423,-0.039,-0.175,0.082,1365.9,639.9,290.2,735.5,995.9,-150.3,2.42,-0.12,0.84
53,4.986,1170.6,674.8,8.8,119.8,1.688,2.404,-0.998,0.058,-0.019,1365.9,639.9,290.2,735.5,0.0,0.0,2.40,-0.20,0.84
54,5.038,1157.5,583.9,-13.1,-90.9,1.599,2.432,-0.267,-0.089,0.028,1339.0,640.7,293.3,741.4,-27.0,0.8,2.43,-0.23,0.83
55,5.087,1154.0,559.4,-3.5,-24.5,1.655,2.568,-0.093,0.056,0.136,1339.0,640.7,293.3,741.4,0.0,0.0,2.57,-0.21,0.83
56,5.138,1160.0,602.7,6.0,43.3,1.596,2.395,-0.412,-0.059,-0.174,1328.4,639.4,294.4,739.1,-10.5,-1.4,2.39,-0.44,0.87
57,5.188,1143.7,550.1,-16.3,-52.6,1.522,2.481,0.020,-0.074,0.086,1325.1,639.5,294.6,738.5,-3.4,0.1,2.48,-0.18,0.85
